constructorId,constructorName,year,date,raceName,points
15,Alfa Romeo,2017,2017-03-26,Australian Grand Prix,0.0
5,AlphaTauri,2017,2017-03-26,Australian Grand Prix,6.0
4,Alpine,2017,2017-03-26,Australian Grand Prix,0.0
10,Aston Martin,2017,2017-03-26,Australian Grand Prix,7.0
6,Ferrari,2017,2017-03-26,Australian Grand Prix,37.0
210,Haas F1 Team,2017,2017-03-26,Australian Grand Prix,0.0
1,McLaren,2017,2017-03-26,Australian Grand Prix,0.0
131,Mercedes,2017,2017-03-26,Australian Grand Prix,33.0
9,Red Bull,2017,2017-03-26,Australian Grand Prix,10.0
3,Williams,2017,2017-03-26,Australian Grand Prix,8.0
15,Alfa Romeo,2017,2017-04-09,Chinese Grand Prix,0.0
5,AlphaTauri,2017,2017-04-09,Chinese Grand Prix,6.0
4,Alpine,2017,2017-04-09,Chinese Grand Prix,0.0
10,Aston Martin,2017,2017-04-09,Chinese Grand Prix,3.0
6,Ferrari,2017,2017-04-09,Chinese Grand Prix,28.0
210,Haas F1 Team,2017,2017-04-09,Chinese Grand Prix,4.0
1,McLaren,2017,2017-04-09,Chinese Grand Prix,0.0
131,Mercedes,2017,2017-04-09,Chinese Grand Prix,33.0
9,Red Bull,2017,2017-04-09,Chinese Grand Prix,27.0
3,Williams,2017,2017-04-09,Chinese Grand Prix,0.0
15,Alfa Romeo,2017,2017-04-16,Bahrain Grand Prix,0.0
5,AlphaTauri,2017,2017-04-16,Bahrain Grand Prix,0.0
4,Alpine,2017,2017-04-16,Bahrain Grand Prix,2.0
10,Aston Martin,2017,2017-04-16,Bahrain Grand Prix,7.0
6,Ferrari,2017,2017-04-16,Bahrain Grand Prix,37.0
210,Haas F1 Team,2017,2017-04-16,Bahrain Grand Prix,4.0
1,McLaren,2017,2017-04-16,Bahrain Grand Prix,0.0
131,Mercedes,2017,2017-04-16,Bahrain Grand Prix,33.0
9,Red Bull,2017,2017-04-16,Bahrain Grand Prix,10.0
3,Williams,2017,2017-04-16,Bahrain Grand Prix,8.0
15,Alfa Romeo,2017,2017-04-30,Russian Grand Prix,0.0
5,AlphaTauri,2017,2017-04-30,Russian Grand Prix,1.0
4,Alpine,2017,2017-04-30,Russian Grand Prix,4.0
10,Aston Martin,2017,2017-04-30,Russian Grand Prix,14.0
6,Ferrari,2017,2017-04-30,Russian Grand Prix,33.0
210,Haas F1 Team,2017,2017-04-30,Russian Grand Prix,0.0
1,McLaren,2017,2017-04-30,Russian Grand Prix,0.0
131,Mercedes,2017,2017-04-30,Russian Grand Prix,37.0
9,Red Bull,2017,2017-04-30,Russian Grand Prix,10.0
3,Williams,2017,2017-04-30,Russian Grand Prix,2.0
15,Alfa Romeo,2017,2017-05-14,Spanish Grand Prix,4.0
5,AlphaTauri,2017,2017-05-14,Spanish Grand Prix,8.0
4,Alpine,2017,2017-05-14,Spanish Grand Prix,8.0
10,Aston Martin,2017,2017-05-14,Spanish Grand Prix,22.0
6,Ferrari,2017,2017-05-14,Spanish Grand Prix,18.0
210,Haas F1 Team,2017,2017-05-14,Spanish Grand Prix,1.0
1,McLaren,2017,2017-05-14,Spanish Grand Prix,0.0
131,Mercedes,2017,2017-05-14,Spanish Grand Prix,25.0
9,Red Bull,2017,2017-05-14,Spanish Grand Prix,15.0
3,Williams,2017,2017-05-14,Spanish Grand Prix,0.0
15,Alfa Romeo,2017,2017-05-28,Monaco Grand Prix,0.0
5,AlphaTauri,2017,2017-05-28,Monaco Grand Prix,8.0
4,Alpine,2017,2017-05-28,Monaco Grand Prix,0.0
10,Aston Martin,2017,2017-05-28,Monaco Grand Prix,0.0
6,Ferrari,2017,2017-05-28,Monaco Grand Prix,43.0
210,Haas F1 Team,2017,2017-05-28,Monaco Grand Prix,5.0
1,McLaren,2017,2017-05-28,Monaco Grand Prix,0.0
131,Mercedes,2017,2017-05-28,Monaco Grand Prix,18.0
9,Red Bull,2017,2017-05-28,Monaco Grand Prix,25.0
3,Williams,2017,2017-05-28,Monaco Grand Prix,2.0
15,Alfa Romeo,2017,2017-06-11,Canadian Grand Prix,0.0
5,AlphaTauri,2017,2017-06-11,Canadian Grand Prix,0.0
4,Alpine,2017,2017-06-11,Canadian Grand Prix,4.0
10,Aston Martin,2017,2017-06-11,Canadian Grand Prix,18.0
6,Ferrari,2017,2017-06-11,Canadian Grand Prix,18.0
210,Haas F1 Team,2017,2017-06-11,Canadian Grand Prix,1.0
1,McLaren,2017,2017-06-11,Canadian Grand Prix,0.0
131,Mercedes,2017,2017-06-11,Canadian Grand Prix,43.0
9,Red Bull,2017,2017-06-11,Canadian Grand Prix,15.0
