constructorId,constructorName,year,date,raceName,points
15,Alfa Romeo,2011,2011-03-27,Australian Grand Prix,0.0
5,AlphaTauri,2011,2011-03-27,Australian Grand Prix,4.0
4,Alpine,2011,2011-03-27,Australian Grand Prix,15.0
10,Aston Martin,2011,2011-03-27,Australian Grand Prix,3.0
6,Ferrari,2011,2011-03-27,Australian Grand Prix,18.0
1,McLaren,2011,2011-03-27,Australian Grand Prix,26.0
131,Mercedes,2011,2011-03-27,Australian Grand Prix,0.0
9,Red Bull,2011,2011-03-27,Australian Grand Prix,35.0
3,Williams,2011,2011-03-27,Australian Grand Prix,0.0
15,Alfa Romeo,2011,2011-04-10,Malaysian Grand Prix,6.0
5,AlphaTauri,2011,2011-04-10,Malaysian Grand Prix,0.0
4,Alpine,2011,2011-04-10,Malaysian Grand Prix,15.0
10,Aston Martin,2011,2011-04-10,Malaysian Grand Prix,1.0
6,Ferrari,2011,2011-04-10,Malaysian Grand Prix,18.0
1,McLaren,2011,2011-04-10,Malaysian Grand Prix,22.0
131,Mercedes,2011,2011-04-10,Malaysian Grand Prix,2.0
9,Red Bull,2011,2011-04-10,Malaysian Grand Prix,37.0
3,Williams,2011,2011-04-10,Malaysian Grand Prix,0.0
15,Alfa Romeo,2011,2011-04-17,Chinese Grand Prix,1.0
5,AlphaTauri,2011,2011-04-17,Chinese Grand Prix,0.0
4,Alpine,2011,2011-04-17,Chinese Grand Prix,2.0
10,Aston Martin,2011,2011-04-17,Chinese Grand Prix,0.0
6,Ferrari,2011,2011-04-17,Chinese Grand Prix,14.0
1,McLaren,2011,2011-04-17,Chinese Grand Prix,37.0
131,Mercedes,2011,2011-04-17,Chinese Grand Prix,14.0
9,Red Bull,2011,2011-04-17,Chinese Grand Prix,33.0
3,Williams,2011,2011-04-17,Chinese Grand Prix,0.0
15,Alfa Romeo,2011,2011-05-08,Turkish Grand Prix,1.0
5,AlphaTauri,2011,2011-05-08,Turkish Grand Prix,2.0
4,Alpine,2011,2011-05-08,Turkish Grand Prix,10.0
10,Aston Martin,2011,2011-05-08,Turkish Grand Prix,0.0
6,Ferrari,2011,2011-05-08,Turkish Grand Prix,15.0
1,McLaren,2011,2011-05-08,Turkish Grand Prix,20.0
131,Mercedes,2011,2011-05-08,Turkish Grand Prix,10.0
9,Red Bull,2011,2011-05-08,Turkish Grand Prix,43.0
3,Williams,2011,2011-05-08,Turkish Grand Prix,0.0
15,Alfa Romeo,2011,2011-05-22,Spanish Grand Prix,3.0
5,AlphaTauri,2011,2011-05-22,Spanish Grand Prix,0.0
4,Alpine,2011,2011-05-22,Spanish Grand Prix,4.0
10,Aston Martin,2011,2011-05-22,Spanish Grand Prix,0.0
6,Ferrari,2011,2011-05-22,Spanish Grand Prix,10.0
1,McLaren,2011,2011-05-22,Spanish Grand Prix,33.0
131,Mercedes,2011,2011-05-22,Spanish Grand Prix,14.0
9,Red Bull,2011,2011-05-22,Spanish Grand Prix,37.0
3,Williams,2011,2011-05-22,Spanish Grand Prix,0.0
15,Alfa Romeo,2011,2011-05-29,Monaco Grand Prix,10.0
5,AlphaTauri,2011,2011-05-29,Monaco Grand Prix,1.0
4,Alpine,2011,2011-05-29,Monaco Grand Prix,4.0
10,Aston Martin,2011,2011-05-29,Monaco Grand Prix,6.0
6,Ferrari,2011,2011-05-29,Monaco Grand Prix,18.0
1,McLaren,2011,2011-05-29,Monaco Grand Prix,23.0
131,Mercedes,2011,2011-05-29,Monaco Grand Prix,0.0
9,Red Bull,2011,2011-05-29,Monaco Grand Prix,37.0
3,Williams,2011,2011-05-29,Monaco Grand Prix,2.0
15,Alfa Romeo,2011,2011-06-12,Canadian Grand Prix,6.0
5,AlphaTauri,2011,2011-06-12,Canadian Grand Prix,5.0
4,Alpine,2011,2011-06-12,Canadian Grand Prix,10.0
10,Aston Martin,2011,2011-06-12,Canadian Grand Prix,0.0
6,Ferrari,2011,2011-06-12,Canadian Grand Prix,8.0
1,McLaren,2011,2011-06-12,Canadian Grand Prix,25.0
131,Mercedes,2011,2011-06-12,Canadian Grand Prix,12.0
9,Red Bull,2011,2011-06-12,Canadian Grand Prix,33.0
3,Williams,2011,2011-06-12,Canadian Grand Prix,2.0
15,Alfa Romeo,2011,2011-06-26,European Grand Prix,0.0
5,AlphaTauri,2011,2011-06-26,European Grand Prix,4.0
4,Alpine,2011,2011-06-26,European Grand Prix,1.0
10,Aston Martin,2011,2011-06-26,European Grand Prix,2.0
6,Ferrari,2011,2011-06-26,European Grand Prix,28.0
1,McLaren,2011,2011-06-26,European Grand Prix,20.0
131,Mercedes,2011,2011-06-26,European Grand Prix,6.0
9,Red Bull,2011,2011-06-26,European Grand Prix,40.0
3,Williams,2011,2011-06-26,European Grand Prix,0.0
15,Alfa Romeo,2011,2011-07-10,British Grand Prix,6.0
5,AlphaTauri,2011,2011-07-10,British Grand Prix,1.0
4,Alpine,2011,2011-07-10,British Grand Prix,4.0
10,Aston Martin,2011,2011-07-10,British Grand Prix,0.0
6,Ferrari,2011,2011-07-10,British Grand Prix,35.0
1,McLaren,2011,2011-07-10,British Grand Prix,12.0
131,Mercedes,2011,2011-07-10,British Grand Prix,10.0
9,Red Bull,2011,2011-07-10,British Grand Prix,33.0
3,Williams,2011,2011-07-10,British Grand Prix,0.0
15,Alfa Romeo,2011,2011-07-24,German Grand Prix,2.0
5,AlphaTauri,2011,2011-07-24,German Grand Prix,0.0
4,Alpine,2011,2011-07-24,German Grand Prix,1.0
10,Aston Martin,2011,2011-07-24,German Grand Prix,8.0
6,Ferrari,2011,2011-07-24,German Grand Prix,28.0
1,McLaren,2011,2011-07-24,German Grand Prix,25.0
131,Mercedes,2011,2011-07-24,German Grand Prix,10.0
9,Red Bull,2011,2011-07-24,German Grand Prix,27.0
3,Williams,2011,2011-07-24,German Grand Prix,0.0
15,Alfa Romeo,2011,2011-07-31,Hungarian Grand Prix,0.0
5,AlphaTauri,2011,2011-07-31,Hungarian Grand Prix,5.0
4,Alpine,2011,2011-07-31,Hungarian Grand Prix,0.0
10,Aston Martin,2011,2011-07-31,Hungarian Grand Prix,6.0
6,Ferrari,2011,2011-07-31,Hungarian Grand Prix,23.0
1,McLaren,2011,2011-07-31,Hungarian Grand Prix,37.0
131,Mercedes,2011,2011-07-31,Hungarian Grand Prix,2.0
9,Red Bull,2011,2011-07-31,Hungarian Grand Prix,28.0
3,Williams,2011,2011-07-31,Hungarian Grand Prix,0.0
15,Alfa Romeo,2011,2011-08-28,Belgian Grand Prix,0.0
5,AlphaTauri,2011,2011-08-28,Belgian Grand Prix,0.0
4,Alpine,2011,2011-08-28,Belgian Grand Prix,2.0
10,Aston Martin,2011,2011-08-28,Belgian Grand Prix,6.0
6,Ferrari,2011,2011-08-28,Belgian Grand Prix,16.0
1,McLaren,2011,2011-08-28,Belgian Grand Prix,15.0
131,Mercedes,2011,2011-08-28,Belgian Grand Prix,18.0
9,Red Bull,2011,2011-08-28,Belgian Grand Prix,43.0
3,Williams,2011,2011-08-28,Belgian Grand Prix,1.0
15,Alfa Romeo,2011,2011-09-11,Italian Grand Prix,0.0
5,AlphaTauri,2011,2011-09-11,Italian Grand Prix,7.0
4,Alpine,2011,2011-09-11,Italian Grand Prix,2.0
10,Aston Martin,2011,2011-09-11,Italian Grand Prix,4.0
6,Ferrari,2011,2011-09-11,Italian Grand Prix,23.0
1,McLaren,2011,2011-09-11,Italian Grand Prix,30.0
131,Mercedes,2011,2011-09-11,Italian Grand Prix,10.0
9,Red Bull,2011,2011-09-11,Italian Grand Prix,25.0
3,Williams,2011,2011-09-11,Italian Grand Prix,0.0
15,Alfa Romeo,2011,2011-09-25,Singapore Grand Prix,1.0
5,AlphaTauri,2011,2011-09-25,Singapore Grand Prix,0.0
4,Alpine,2011,2011-09-25,Singapore Grand Prix,0.0
10,Aston Martin,2011,2011-09-25,Singapore Grand Prix,12.0
6,Ferrari,2011,2011-09-25,Singapore Grand Prix,14.0
1,McLaren,2011,2011-09-25,Singapore Grand Prix,28.0
131,Mercedes,2011,2011-09-25,Singapore Grand Prix,6.0
9,Red Bull,2011,2011-09-25,Singapore Grand Prix,40.0
3,Williams,2011,2011-09-25,Singapore Grand Prix,0.0
15,Alfa Romeo,2011,2011-10-09,Japanese Grand Prix,4.0
5,AlphaTauri,2011,2011-10-09,Japanese Grand Prix,0.0
4,Alpine,2011,2011-10-09,Japanese Grand Prix,2.0
10,Aston Martin,2011,2011-10-09,Japanese Grand Prix,0.0
6,Ferrari,2011,2011-10-09,Japanese Grand Prix,24.0
1,McLaren,2011,2011-10-09,Japanese Grand Prix,35.0
131,Mercedes,2011,2011-10-09,Japanese Grand Prix,9.0
9,Red Bull,2011,2011-10-09,Japanese Grand Prix,27.0
3,Williams,2011,2011-10-09,Japanese Grand Prix,0.0
15,Alfa Romeo,2011,2011-10-16,Korean Grand Prix,0.0
5,AlphaTauri,2011,2011-10-16,Korean Grand Prix,8.0
4,Alpine,2011,2011-10-16,Korean Grand Prix,0.0
10,Aston Martin,2011,2011-10-16,Korean Grand Prix,1.0
6,Ferrari,2011,2011-10-16,Korean Grand Prix,18.0
1,McLaren,2011,2011-10-16,Korean Grand Prix,30.0
131,Mercedes,2011,2011-10-16,Korean Grand Prix,4.0
9,Red Bull,2011,2011-10-16,Korean Grand Prix,40.0
3,Williams,2011,2011-10-16,Korean Grand Prix,0.0
15,Alfa Romeo,2011,2011-10-30,Indian Grand Prix,1.0
5,AlphaTauri,2011,2011-10-30,Indian Grand Prix,4.0
4,Alpine,2011,2011-10-30,Indian Grand Prix,0.0
10,Aston Martin,2011,2011-10-30,Indian Grand Prix,2.0
6,Ferrari,2011,2011-10-30,Indian Grand Prix,15.0
1,McLaren,2011,2011-10-30,Indian Grand Prix,24.0
131,Mercedes,2011,2011-10-30,Indian Grand Prix,18.0
9,Red Bull,2011,2011-10-30,Indian Grand Prix,37.0
3,Williams,2011,2011-10-30,Indian Grand Prix,0.0
15,Alfa Romeo,2011,2011-11-13,Abu Dhabi Grand Prix,1.0
5,AlphaTauri,2011,2011-11-13,Abu Dhabi Grand Prix,0.0
4,Alpine,2011,2011-11-13,Abu Dhabi Grand Prix,0.0
10,Aston Martin,2011,2011-11-13,Abu Dhabi Grand Prix,6.0
6,Ferrari,2011,2011-11-13,Abu Dhabi Grand Prix,28.0
1,McLaren,2011,2011-11-13,Abu Dhabi Grand Prix,40.0
131,Mercedes,2011,2011-11-13,Abu Dhabi Grand Prix,14.0
9,Red Bull,2011,2011-11-13,Abu Dhabi Grand Prix,12.0
3,Williams,2011,2011-11-13,Abu Dhabi Grand Prix,0.0
15,Alfa Romeo,2011,2011-11-27,Brazilian Grand Prix,2.0
5,AlphaTauri,2011,2011-11-27,Brazilian Grand Prix,0.0
4,Alpine,2011,2011-11-27,Brazilian Grand Prix,1.0
10,Aston Martin,2011,2011-11-27,Brazilian Grand Prix,12.0
6,Ferrari,2011,2011-11-27,Brazilian Grand Prix,22.0
1,McLaren,2011,2011-11-27,Brazilian Grand Prix,15.0
131,Mercedes,2011,2011-11-27,Brazilian Grand Prix,6.0
9,Red Bull,2011,2011-11-27,Brazilian Grand Prix,43.0
3,Williams,2011,2011-11-27,Brazilian Grand Prix,0.0
