constructorId,constructorName,year,date,raceName,points
15,Alfa Romeo,2012,2012-03-18,Australian Grand Prix,12.0
5,AlphaTauri,2012,2012-03-18,Australian Grand Prix,2.0
208,Alpine,2012,2012-03-18,Australian Grand Prix,6.0
10,Aston Martin,2012,2012-03-18,Australian Grand Prix,1.0
6,Ferrari,2012,2012-03-18,Australian Grand Prix,10.0
1,McLaren,2012,2012-03-18,Australian Grand Prix,40.0
131,Mercedes,2012,2012-03-18,Australian Grand Prix,0.0
9,Red Bull,2012,2012-03-18,Australian Grand Prix,30.0
3,Williams,2012,2012-03-18,Australian Grand Prix,0.0
15,Alfa Romeo,2012,2012-03-25,Malaysian Grand Prix,18.0
5,AlphaTauri,2012,2012-03-25,Malaysian Grand Prix,4.0
208,Alpine,2012,2012-03-25,Malaysian Grand Prix,10.0
10,Aston Martin,2012,2012-03-25,Malaysian Grand Prix,8.0
6,Ferrari,2012,2012-03-25,Malaysian Grand Prix,25.0
1,McLaren,2012,2012-03-25,Malaysian Grand Prix,15.0
131,Mercedes,2012,2012-03-25,Malaysian Grand Prix,1.0
9,Red Bull,2012,2012-03-25,Malaysian Grand Prix,12.0
3,Williams,2012,2012-03-25,Malaysian Grand Prix,8.0
15,Alfa Romeo,2012,2012-04-15,Chinese Grand Prix,1.0
5,AlphaTauri,2012,2012-04-15,Chinese Grand Prix,0.0
208,Alpine,2012,2012-04-15,Chinese Grand Prix,8.0
10,Aston Martin,2012,2012-04-15,Chinese Grand Prix,0.0
6,Ferrari,2012,2012-04-15,Chinese Grand Prix,2.0
1,McLaren,2012,2012-04-15,Chinese Grand Prix,33.0
131,Mercedes,2012,2012-04-15,Chinese Grand Prix,25.0
9,Red Bull,2012,2012-04-15,Chinese Grand Prix,22.0
3,Williams,2012,2012-04-15,Chinese Grand Prix,10.0
15,Alfa Romeo,2012,2012-04-22,Bahrain Grand Prix,0.0
5,AlphaTauri,2012,2012-04-22,Bahrain Grand Prix,0.0
