constructorId,constructorName,year,date,raceName,points
15,Alfa Romeo,2016,2016-03-20,Australian Grand Prix,0.0
5,AlphaTauri,2016,2016-03-20,Australian Grand Prix,3.0
4,Alpine,2016,2016-03-20,Australian Grand Prix,0.0
10,Aston Martin,2016,2016-03-20,Australian Grand Prix,6.0
6,Ferrari,2016,2016-03-20,Australian Grand Prix,15.0
210,Haas F1 Team,2016,2016-03-20,Australian Grand Prix,8.0
1,McLaren,2016,2016-03-20,Australian Grand Prix,0.0
131,Mercedes,2016,2016-03-20,Australian Grand Prix,43.0
9,Red Bull,2016,2016-03-20,Australian Grand Prix,12.0
3,Williams,2016,2016-03-20,Australian Grand Prix,14.0
15,Alfa Romeo,2016,2016-04-03,Bahrain Grand Prix,0.0
5,AlphaTauri,2016,2016-04-03,Bahrain Grand Prix,8.0
4,Alpine,2016,2016-04-03,Bahrain Grand Prix,0.0
10,Aston Martin,2016,2016-04-03,Bahrain Grand Prix,0.0
6,Ferrari,2016,2016-04-03,Bahrain Grand Prix,18.0
210,Haas F1 Team,2016,2016-04-03,Bahrain Grand Prix,10.0
1,McLaren,2016,2016-04-03,Bahrain Grand Prix,1.0
131,Mercedes,2016,2016-04-03,Bahrain Grand Prix,40.0
9,Red Bull,2016,2016-04-03,Bahrain Grand Prix,18.0
3,Williams,2016,2016-04-03,Bahrain Grand Prix,6.0
15,Alfa Romeo,2016,2016-04-17,Chinese Grand Prix,0.0
5,AlphaTauri,2016,2016-04-17,Chinese Grand Prix,6.0
4,Alpine,2016,2016-04-17,Chinese Grand Prix,0.0
10,Aston Martin,2016,2016-04-17,Chinese Grand Prix,0.0
6,Ferrari,2016,2016-04-17,Chinese Grand Prix,28.0
210,Haas F1 Team,2016,2016-04-17,Chinese Grand Prix,0.0
1,McLaren,2016,2016-04-17,Chinese Grand Prix,0.0
131,Mercedes,2016,2016-04-17,Chinese Grand Prix,31.0
9,Red Bull,2016,2016-04-17,Chinese Grand Prix,27.0
3,Williams,2016,2016-04-17,Chinese Grand Prix,9.0
15,Alfa Romeo,2016,2016-05-01,Russian Grand Prix,0.0
5,AlphaTauri,2016,2016-05-01,Russian Grand Prix,0.0
4,Alpine,2016,2016-05-01,Russian Grand Prix,6.0
10,Aston Martin,2016,2016-05-01,Russian Grand Prix,2.0
6,Ferrari,2016,2016-05-01,Russian Grand Prix,15.0
210,Haas F1 Team,2016,2016-05-01,Russian Grand Prix,4.0
1,McLaren,2016,2016-05-01,Russian Grand Prix,9.0
131,Mercedes,2016,2016-05-01,Russian Grand Prix,43.0
9,Red Bull,2016,2016-05-01,Russian Grand Prix,0.0
3,Williams,2016,2016-05-01,Russian Grand Prix,22.0
15,Alfa Romeo,2016,2016-05-15,Spanish Grand Prix,0.0
5,AlphaTauri,2016,2016-05-15,Spanish Grand Prix,9.0
4,Alpine,2016,2016-05-15,Spanish Grand Prix,0.0
10,Aston Martin,2016,2016-05-15,Spanish Grand Prix,6.0
6,Ferrari,2016,2016-05-15,Spanish Grand Prix,33.0
210,Haas F1 Team,2016,2016-05-15,Spanish Grand Prix,0.0
1,McLaren,2016,2016-05-15,Spanish Grand Prix,2.0
131,Mercedes,2016,2016-05-15,Spanish Grand Prix,0.0
9,Red Bull,2016,2016-05-15,Spanish Grand Prix,37.0
3,Williams,2016,2016-05-15,Spanish Grand Prix,14.0
15,Alfa Romeo,2016,2016-05-29,Monaco Grand Prix,0.0
5,AlphaTauri,2016,2016-05-29,Monaco Grand Prix,4.0
4,Alpine,2016,2016-05-29,Monaco Grand Prix,0.0
10,Aston Martin,2016,2016-05-29,Monaco Grand Prix,23.0
